from,to,n_from,n_to,auc_gap,ext_auc,int_auc,dt_score,dt_abs,dt_alignment,bn_score,bn_batch,bn_interaction,geodesic,centroid_dist
AT-CRC,CN-CRC,109,128,0.1804558404558404,0.7685185185185186,0.948974358974359,-2.514434837123435,2.514434837123435,-0.07729032853235424,0.07429248779640765,32.637231109325846,2.424701093898201,3.4934000866455026,32.53233470305148
AT-CRC,DE-CRC,109,120,0.146474358974359,0.8025,0.948974358974359,1.0435075424495002,1.0435075424495002,0.043683186957900404,0.07743755884154145,23.2682165642123,1.8018338893289967,3.5214265834022505,23.888081779727635
AT-CRC,FR-CRC,109,114,0.18466876045904812,0.7643055985153109,0.948974358974359,-2.5867526647252026,2.5867526647252026,-0.1284809617700672,0.08946503900743136,19.790393543533455,1.7705483303447276,3.3651994557174936,20.133353837702373
AT-CRC,IT-CRC,109,53,0.22914677276746254,0.7198275862068965,0.948974358974359,-2.335067603474848,2.335067603474848,-0.06295651517088774,0.054647203355265066,37.06434359598643,2.0254627217193417,3.784716640883452,37.09016607949996
AT-CRC,IT-CRC-2,109,60,0.183349358974359,0.765625,0.948974358974359,-2.0821405276195177,2.0821405276195177,-0.10579000723341166,0.11394245191631729,19.38529656623648,2.2088082218820646,3.586088927003451,19.68182612016884
AT-CRC,JP-CRC,109,80,0.22522435897435888,0.7237500000000001,0.948974358974359,8.093274792532856,8.093274792532856,0.22686794121408876,0.05004942065903121,36.00109383091959,1.801833889328998,3.5258277769784345,35.67394647838426
AT-CRC,US-CRC,109,104,0.31509861932938865,0.6338757396449703,0.948974358974359,-2.812851852079178,2.812851852079178,-0.09796399990804519,0.06377295878912918,28.25388571489768,1.8018338893289993,3.6470169430716797,28.713117621977354
AT-CRC,US-CRC-2,109,56,0.40178048142333855,0.5471938775510204,0.948974358974359,3.801392929938878,3.801392929938878,0.11237022996908588,0.05170403762084027,34.848997723200725,1.801833889328999,3.7231403964099483,33.82918172352735
CN-CRC,AT-CRC,128,109,0.06213237969759711,0.7387853692201518,0.8009177489177489,-5.722284286662545,5.722284286662545,-0.17589528507235072,0.07429248779640765,32.637231109325846,2.424701093898201,3.4934000866455026,32.53233470305148
CN-CRC,DE-CRC,128,120,-0.04130447330447329,0.8422222222222222,0.8009177489177489,-1.1887000421510994,1.1887000421510994,-0.03410548782414651,0.0420473465881024,34.59186262519138,1.45449603692949,3.485306831636145,34.853629664533685
CN-CRC,FR-CRC,128,114,0.0038252651565363616,0.7970924837612126,0.8009177489177489,1.202771451459029,1.202771451459029,0.0396283256059142,0.06140043899497777,30.139027061249166,1.8505494924422747,3.338649932529832,30.351306371609247
CN-CRC,IT-CRC,128,53,0.032239587998208696,0.7686781609195402,0.8009177489177489,4.76019134151575,4.76019134151575,0.1396757104124376,0.040705106654716695,34.23488630422739,1.3935346983257164,3.6251063864390884,34.080308791411255
CN-CRC,IT-CRC-2,128,60,0.07547132034632043,0.7254464285714285,0.8009177489177489,-0.8523236366268419,0.8523236366268419,-0.025725692525926238,0.04724850773259222,32.85299824842874,1.5522551417797712,3.6649773241988,33.13122225059046
CN-CRC,JP-CRC,128,80,0.1090427489177489,0.691875,0.8009177489177489,-2.2105308929939684,2.2105308929939684,-0.0937427458987716,0.06054955277800002,24.021581831697787,1.454496036929492,3.4113127213611962,23.58082080698728
CN-CRC,US-CRC,128,104,0.10528165424319269,0.6956360946745562,0.8009177489177489,-0.459783243951575,0.459783243951575,-0.014421720055605516,0.045607775815723624,31.89140472024503,1.454496036929491,3.5535978376667465,31.88130418416002
CN-CRC,US-CRC-2,128,56,0.17336672850958568,0.6275510204081632,0.8009177489177489,0.7742836147169934,0.7742836147169934,0.020072696765136552,0.03766870590483955,38.61284856994744,1.4544960369294921,3.796873398469188,38.57397059182376
DE-CRC,AT-CRC,120,109,0.22665631469979297,0.7094547964113181,0.9361111111111111,-11.127749340025638,11.127749340025638,-0.4658285015362187,0.07743755884154145,23.2682165642123,1.8018338893289967,3.52142658340225,23.888081779727635
DE-CRC,CN-CRC,120,128,0.06498998998999006,0.8711211211211211,0.9361111111111111,-4.7774908937131,4.7774908937131,-0.1370729803379542,0.0420473465881024,34.59186262519138,1.45449603692949,3.4853068316361453,34.853629664533685
DE-CRC,FR-CRC,120,114,0.13994655806440515,0.796164553046706,0.9361111111111111,0.8877044616725568,0.8877044616725568,0.050744445359143964,0.03624236704200386,17.498870434340358,0.634200485101869,3.2793349336078723,17.493628226494057
DE-CRC,IT-CRC,120,53,0.1832375478927203,0.7528735632183908,0.9361111111111111,-4.0171474676470496,4.0171474676470496,-0.12357948726642569,0.02821833929695459,32.31175489942067,0.9117840630319156,3.6616957634358407,32.506587917672256
DE-CRC,IT-CRC-2,120,60,0.23298611111111112,0.703125,0.9361111111111111,4.193565956441699,4.193565956441699,0.20187361148145747,0.03454461842989565,20.883746333023335,0.7214210484610581,3.5187274120940697,20.77322501770711
DE-CRC,JP-CRC,120,80,0.27798611111111104,0.6581250000000001,0.9361111111111111,-5.680414861867658,5.680414861867658,-0.14308287685413118,8.222345201401512e-16,39.700172283078516,3.264285210665922e-14,3.5705107485592005,39.70017228307851
DE-CRC,US-CRC,120,104,0.2578566732412886,0.6782544378698225,0.9361111111111111,0.4973842498249162,0.4973842498249162,0.022470642784666633,1.5657647349075524e-15,22.134847435886236,3.465796352767109e-14,3.4606766874836055,22.134847435886236
DE-CRC,US-CRC-2,120,56,0.4106009070294785,0.5255102040816326,0.9361111111111111,0.49261931249051805,0.49261931249051805,0.01087411233188842,6.000353647502588e-16,45.30202534747569,2.718281730329865e-14,3.84747696842301,45.30202534747569
FR-CRC,AT-CRC,114,109,0.0487824494346234,0.7846790890269151,0.8334615384615385,-3.2300531118472975,3.2300531118472975,-0.16043293819226656,0.08946503900743136,19.790393543533455,1.7705483303447276,3.3651994557174936,20.133353837702373
FR-CRC,CN-CRC,114,128,0.01214021714021718,0.8213213213213213,0.8334615384615385,0.6802864403988484,0.6802864403988484,0.02241374496602127,0.06140043899497777,30.139027061249166,1.8505494924422747,3.3386499325298318,30.351306371609247
FR-CRC,DE-CRC,114,120,0.005128205128205221,0.8283333333333333,0.8334615384615385,-6.25363260347563,6.25363260347563,-0.35748059364861556,0.03624236704200386,17.498870434340358,0.634200485101869,3.2793349336078723,17.493628226494057
FR-CRC,IT-CRC,114,53,0.05041556145004411,0.7830459770114944,0.8334615384615385,8.484963565446698,8.484963565446698,0.24583013032996584,0.036635653526430445,34.18866413788179,1.2525240538869717,3.6079298690364294,34.51555573784832
FR-CRC,IT-CRC-2,114,60,0.18055975274725267,0.6529017857142858,0.8334615384615385,-0.6594102991376991,0.6594102991376991,-0.03654873873843241,0.05553839770206413,18.24742635765638,1.013432822090703,3.581341034055987,18.041944042360818
FR-CRC,JP-CRC,114,80,0.16721153846153847,0.66625,0.8334615384615385,6.520715159606874,6.520715159606874,0.18372529180915995,0.017954919912948165,35.321821995123344,0.6342004851018685,3.4450306455167934,35.49165765582193
FR-CRC,US-CRC,114,104,0.12599112426035508,0.7074704142011834,0.8334615384615385,2.046005618976568,2.046005618976568,0.09499321757945844,0.029677792780649234,21.369530065435246,0.6342004851018705,3.383904143065233,21.53843896555101
FR-CRC,US-CRC-2,114,56,0.15106357927786496,0.6823979591836735,0.8334615384615385,-6.5646325856045715,6.5646325856045715,-0.15726916476748037,0.015197813823216777,41.72971800279751,0.6342004851018692,3.8254811775019255,41.741383921699494
IT-CRC,AT-CRC,53,109,0.04159075224292608,0.6100759144237405,0.6516666666666666,-8.497217684224943,8.497217684224943,-0.22909624254611238,0.054647203355265066,37.06434359598643,2.0254627217193417,3.784716640883452,37.09016607949996
IT-CRC,CN-CRC,53,128,-0.0780630630630631,0.7297297297297297,0.6516666666666666,-8.56268069808976,8.56268069808976,-0.25125009137967175,0.040705106654716695,34.23488630422739,1.3935346983257164,3.625106386439089,34.080308791411255
IT-CRC,DE-CRC,53,120,-0.11444444444444446,0.7661111111111111,0.6516666666666666,3.562093887957243,3.562093887957243,0.10958067629179238,0.02821833929695459,32.31175489942067,0.9117840630319156,3.6616957634358407,32.506587917672256
IT-CRC,FR-CRC,53,114,-0.08232652850809363,0.7339931951747602,0.6516666666666666,-5.145221774041762,5.145221774041762,-0.14906964885979157,0.036635653526430445,34.18866413788179,1.2525240538869717,3.60792986903643,34.51555573784832
IT-CRC,IT-CRC-2,53,60,-0.03806547619047618,0.6897321428571428,0.6516666666666666,-2.108632046813935,2.108632046813935,-0.05900743832771173,0.03225116986390993,35.53052855831973,1.1459011118889049,3.839764470079042,35.73502098333926
IT-CRC,JP-CRC,53,80,-0.07395833333333335,0.725625,0.6516666666666666,-5.001049700294779,5.001049700294779,-0.155665958882946,0.02824723971306907,32.27869598210816,0.911784063031917,3.697014247966468,32.12680367745137
IT-CRC,US-CRC,53,104,-0.0021794871794872384,0.6538461538461539,0.6516666666666666,5.853068940007275,5.853068940007275,0.1804615606360436,0.028129796177331603,32.41346141592907,0.9117840630319152,3.711607774005365,32.4338818714508
IT-CRC,US-CRC-2,53,56,0.14528911564625846,0.5063775510204082,0.6516666666666666,-11.960405117602475,11.960405117602475,-0.30207244284354784,0.02297498947480615,39.6859404019199,0.911784063031917,3.975731211468091,39.59449264889355
IT-CRC-2,AT-CRC,60,109,-0.05924775707384389,0.8060731538992407,0.7468253968253968,-0.40100263559161514,0.40100263559161514,-0.02037425964152125,0.11394245191631729,19.38529656623648,2.2088082218820646,3.5860889270034506,19.68182612016884
IT-CRC-2,CN-CRC,60,128,0.057886457886457965,0.6889389389389389,0.7468253968253968,-6.300377527925036,6.300377527925036,-0.19016435555173522,0.04724850773259222,32.85299824842874,1.5522551417797712,3.6649773241988,33.13122225059046
IT-CRC-2,DE-CRC,60,120,0.1259920634920635,0.6208333333333333,0.7468253968253968,2.7702389659385527,2.7702389659385527,0.1333562296454723,0.03454461842989565,20.883746333023335,0.7214210484610581,3.51872741209407,20.77322501770711
IT-CRC-2,FR-CRC,60,114,0.0901597611928574,0.6566656356325394,0.7468253968253968,-1.7780517386255494,1.7780517386255494,-0.0985510061693324,0.05553839770206413,18.24742635765638,1.013432822090703,3.5813410340559875,18.041944042360818
IT-CRC-2,IT-CRC,60,53,0.08734263820470711,0.6594827586206897,0.7468253968253968,-2.314683633534197,2.314683633534197,-0.06477353503201544,0.03225116986390993,35.53052855831973,1.1459011118889049,3.839764470079042,35.73502098333926
IT-CRC-2,JP-CRC,60,80,-0.03567460317460314,0.7825,0.7468253968253968,-1.1841696634366932,1.1841696634366932,-0.033239857443938446,0.020403719443774372,35.35733033621781,0.7214210484610611,3.72035280020481,35.624992238124136
IT-CRC-2,US-CRC,60,104,0.1806271719733259,0.5661982248520709,0.7468253968253968,2.2293142706614133,2.2293142706614133,0.07954089940855257,0.025727338330388413,28.041029320507285,0.7214210484610581,3.6700464558291452,28.02727008668485
IT-CRC-2,US-CRC-2,60,56,0.26213151927437633,0.4846938775510205,0.7468253968253968,2.688349726218848,2.688349726218848,0.0651025480039589,0.017577384655353696,41.04257047372021,0.7214210484610599,3.9992402933889624,41.294078475320255
JP-CRC,AT-CRC,80,109,0.04499223602484481,0.6987577639751552,0.74375,14.177063452887186,14.177063452887186,0.3974066469342557,0.05004942065903121,36.00109383091959,1.801833889328998,3.525827776978435,35.67394647838426
JP-CRC,CN-CRC,80,128,-0.0004942442442441575,0.7442442442442442,0.74375,-4.187309328670173,4.187309328670173,-0.17757267072863067,0.06054955277800002,24.021581831697787,1.454496036929492,3.411312721361196,23.58082080698728
JP-CRC,DE-CRC,80,120,0.11791666666666667,0.6258333333333334,0.74375,-5.867609147142197,5.867609147142197,-0.1477980776834818,8.222345201401512e-16,39.700172283078516,3.264285210665922e-14,3.5705107485592005,39.70017228307851
JP-CRC,FR-CRC,80,114,0.035738864831425965,0.7080111351685741,0.74375,-0.7310528080533445,0.7310528080533445,-0.020597877257316675,0.017954919912948165,35.321821995123344,0.6342004851018685,3.445030645516794,35.49165765582193
JP-CRC,IT-CRC,80,53,0.14604885057471262,0.5977011494252874,0.74375,3.7194674591196937,3.7194674591196937,0.11577458798772863,0.02824723971306907,32.27869598210816,0.911784063031917,3.697014247966468,32.12680367745137
JP-CRC,IT-CRC-2,80,60,0.05290178571428572,0.6908482142857143,0.74375,5.1162599334915955,5.1162599334915955,0.14361434521286096,0.020403719443774372,35.35733033621781,0.7214210484610611,3.7203528002048096,35.624992238124136
JP-CRC,US-CRC,80,104,0.2082470414201184,0.5355029585798816,0.74375,-7.27116444202918,7.27116444202918,-0.20243686922142903,8.063781601272193e-16,35.91818264130359,2.8963638033408624e-14,3.5477856371678493,35.91818264130359
JP-CRC,US-CRC-2,80,56,0.3113520408163265,0.4323979591836735,0.74375,-4.944910211889418,4.944910211889418,-0.13347915352604034,5.525555939754019e-16,37.04631083777877,2.0470146289566768e-14,3.896306413853456,37.04631083777877
US-CRC,AT-CRC,104,109,-0.0065483405483405255,0.6587301587301587,0.6521818181818182,-2.5790421588023342,2.5790421588023342,-0.08982104251989048,0.06377295878912918,28.25388571489768,1.8018338893289993,3.64701694307168,28.713117621977354
US-CRC,CN-CRC,104,128,-0.04951988351988357,0.7017017017017018,0.6521818181818182,1.76351212336257,1.76351212336257,0.055314930442484915,0.045607775815723624,31.89140472024503,1.454496036929491,3.5535978376667465,31.88130418416002
US-CRC,DE-CRC,104,120,-0.09087373737373738,0.7430555555555556,0.6521818181818182,-2.683435541238023,2.683435541238023,-0.12123126436766708,1.5657647349075524e-15,22.134847435886236,3.465796352767109e-14,3.460676687483605,22.134847435886236
US-CRC,FR-CRC,104,114,-0.09263723532885304,0.7448190535106712,0.6521818181818182,5.202034596707498,5.202034596707498,0.24152328797028838,0.029677792780649234,21.369530065435246,0.6342004851018705,3.383904143065233,21.53843896555101
US-CRC,IT-CRC,104,53,0.009940438871473223,0.642241379310345,0.6521818181818182,-0.4778782063583469,0.4778782063583469,-0.014733919555246753,0.028129796177331603,32.41346141592907,0.9117840630319152,3.711607774005365,32.4338818714508
US-CRC,IT-CRC-2,104,60,-0.005184253246753201,0.6573660714285714,0.6521818181818182,-3.0300813226273045,3.0300813226273045,-0.10811189649421912,0.025727338330388413,28.041029320507285,0.7214210484610581,3.670046455829145,28.02727008668485
US-CRC,JP-CRC,104,80,-0.08406818181818176,0.73625,0.6521818181818182,-0.17357202390763843,0.17357202390763843,-0.004832427788482733,8.063781601272193e-16,35.91818264130359,2.8963638033408624e-14,3.5477856371678493,35.91818264130359
US-CRC,US-CRC-2,104,56,-0.06465491651205935,0.7168367346938775,0.6521818181818182,-5.270263119513725,5.270263119513725,-0.12055585640555777,5.981356253558325e-16,43.71635917697847,2.6148311834602802e-14,3.848661132438439,43.71635917697847
US-CRC-2,AT-CRC,56,109,0.08077294685990344,0.6014492753623188,0.6822222222222223,0.6175631238452821,0.6175631238452821,0.01825533732658287,0.05170403762084027,34.848997723200725,1.801833889328999,3.7231403964099483,33.82918172352735
US-CRC-2,CN-CRC,56,128,0.06435435435435444,0.6178678678678678,0.6822222222222223,-1.767050847216409,1.767050847216409,-0.04580941033824794,0.03766870590483955,38.61284856994744,1.4544960369294921,3.796873398469188,38.57397059182376
US-CRC-2,DE-CRC,56,120,0.05194444444444468,0.6302777777777776,0.6822222222222223,-13.752014919281537,13.752014919281537,-0.30356291609040653,6.000353647502588e-16,45.30202534747569,2.718281730329865e-14,3.84747696842301,45.30202534747569
US-CRC-2,FR-CRC,56,114,0.06329243564628662,0.6189297865759357,0.6822222222222223,-8.866243438034221,8.866243438034221,-0.2124089477882606,0.015197813823216777,41.72971800279751,0.6342004851018692,3.8254811775019255,41.741383921699494
US-CRC-2,IT-CRC,56,53,0.12475095785440615,0.5574712643678161,0.6822222222222223,-2.9919605639412863,2.9919605639412863,-0.07556506887138556,0.02297498947480615,39.6859404019199,0.911784063031917,3.975731211468091,39.59449264889355
US-CRC-2,IT-CRC-2,56,60,0.08400793650793648,0.5982142857142858,0.6822222222222223,-6.6154644088072585,6.6154644088072585,-0.16020370602920428,0.017577384655353696,41.04257047372021,0.7214210484610599,3.999240293388963,41.294078475320255
US-CRC-2,JP-CRC,56,80,0.14284722222222235,0.5393749999999999,0.6822222222222223,-5.764008798341066,5.764008798341066,-0.15558927914795062,5.525555939754019e-16,37.04631083777877,2.0470146289566768e-14,3.896306413853456,37.04631083777877
US-CRC-2,US-CRC,56,104,0.10640861275476665,0.5758136094674556,0.6822222222222223,-1.4500268411688695,1.4500268411688695,-0.033168975378270675,5.981356253558325e-16,43.71635917697847,2.6148311834602802e-14,3.848661132438439,43.71635917697847
